Wienerwald; Deutschland;Gastronomie
Texaco; USA;Erdöl
co op AG; Deutschland;Einzelhandel
Neue Heimat; Deutschland;Immobilien
Balsam AG; Deutschland;Sportbedarf
Barings Bank; Großbritannien;Banken
Bremer Vulkan; Deutschland;Schiffsbau
FlowTex; Deutschland;Baumaschinen
Pacific Gas and Electric; USA;Versorger
Lernout & Hauspie; Belgien;Technologie
Enron; USA;Versorger
Comroad; Deutschland;Telematik
Kmart; USA;Einzelhandel
Philipp Holzmann; Deutschland;Bauindustrie
Swissair; Schweiz;Fluggesellschaft
Kirch-Gruppe; Deutschland;Medien
Arthur Andersen; USA;Wirtschaftsprüfung
WorldCom; USA;Telekommunikation
Conseco; USA;Finanzdienstleister
Parmalat; Italien;Nahrungsmittel
Heros Unternehmensgruppe; Deutschland;Geldtransporte
Yukos;Russland;Erdöl
Göttinger Gruppe; Deutschland;Finanzdienstleister
Northern Rock; Großbritannien;Banken
Bear Stearns; USA;Banken
Lehman Brothers; USA;Banken
AIG; USA;Versicherung
Washington Mutual; USA;Banken
Royal Bank of Scotland; Großbritannien;Banken
Bernard L. Madoff Investment Securities LLC; USA;Investmentfonds
Sanlu; Volksrepublik China;Nahrungsmittel
Nortel; Kanada;Technologie
Arcandor; Deutschland;Einzelhandel
Hypo Real Estate; Deutschland;Banken
Envio Recycling; Deutschland;Umweltdienstleistungen
Beluga Shipping; Deutschland;Reederei
Harles und Jentzsch; Deutschland;Futtermittel
Teldafax; Deutschland;Energieversorgung, Telekommunikation, Finanzdienstleistungen
Poly Implant Prothèse; Frankreich;Medizinprodukte
MF Global; USA;Finanzdienstleister
Schlecker; Deutschland;Einzelhandel
Müller-Brot; Deutschland;Nahrungsmittel
S&K-Gruppe; Deutschland;Finanzdienstleister
Mt.Gox; Japan;Finanzdienstleister
Infinus; Deutschland;Finanzdienstleister
pcfritz.de; Deutschland;Onlinehandel
Hypo Alpe Adria; Österreich;Banken
Bankhaus Wölbern & Co.; Deutschland;Banken
Imtech; Niederlande;Gebäudetechnik, Schiffstechnik
Maple Bank; Deutschland;Banken
Unister; Deutschland;E-Business
Hanjin Shipping; Südkorea;Reederei
Takata; Japan;Automobilzulieferer
P&R-Gruppe; Deutschland;Finanzdienstleister
Theranos; USA;Biotechnologie
Sears; USA;Einzelhandel
Pacific Gas and Electric; USA;Versorger
Purdue Pharma; USA;Pharmazie
Wilke Waldecker Fleisch- und Wurstwaren; Deutschland;Fleischwaren
J. C. Penney; USA;Einzelhandel
Wirecard; Deutschland;Finanzdienstleister
Commerzialbank Mattersburg; Österreich;Banken
German Property Group; Deutschland;Immobilien
FTX; Bahamas;Handelsplattform für Kryptowährungen
Credit Suisse (CS); Schweiz;Banken
Signa Holding; Österreich;Immobilien und Handel
Evergrande;China;Immobilien
